dataset,method,backbone,split,seed,tag,method_label,test_acc,best_epoch,checkpoint
office_home,arm,resnet18,Art,0,,arm,54.47053976102184,24,outputs/paper30_r18/office_home_Art_arm_resnet18_seed0_best.pth
office_home,coral,resnet18,Art,0,,coral,55.45941491553358,22,outputs/paper30_r18/office_home_Art_coral_resnet18_seed0_best.pth
office_home,eqrm,resnet18,Art,0,,eqrm,56.07746188710342,28,outputs/paper30_r18/office_home_Art_eqrm_resnet18_seed0_best.pth
office_home,erm,resnet18,Art,0,,erm,56.118665018541414,22,outputs/paper30_r18/office_home_Art_erm_resnet18_seed0_best.pth
office_home,m2,resnet18,Art,0,,m2,52.65760197775031,30,outputs/paper30_r18/office_home_Art_m2_resnet18_seed0_best.pth
office_home,m2cl,resnet18,Art,0,,m2cl,54.429336629583844,30,outputs/paper30_r18/office_home_Art_m2cl_resnet18_seed0_best.pth
office_home,mixup,resnet18,Art,0,,mixup,56.36588380716935,26,outputs/paper30_r18/office_home_Art_mixup_resnet18_seed0_best.pth
office_home,mmd,resnet18,Art,0,,mmd,55.66543057272353,24,outputs/paper30_r18/office_home_Art_mmd_resnet18_seed0_best.pth
office_home,rsc,resnet18,Art,0,,rsc,55.99505562422744,29,outputs/paper30_r18/office_home_Art_rsc_resnet18_seed0_best.pth
office_home,sagm,resnet18,Art,0,,sagm,55.78903996703749,29,outputs/paper30_r18/office_home_Art_sagm_resnet18_seed0_best.pth
office_home,sagnet,resnet18,Art,0,,sagnet,55.74783683559951,20,outputs/paper30_r18/office_home_Art_sagnet_resnet18_seed0_best.pth
office_home,selfreg,resnet18,Art,0,,selfreg,57.56077461887104,26,outputs/paper30_r18/office_home_Art_selfreg_resnet18_seed0_best.pth
office_home,arm,resnet18,Clipart,0,,arm,48.45360824742268,23,outputs/paper30_r18/office_home_Clipart_arm_resnet18_seed0_best.pth
office_home,coral,resnet18,Clipart,0,,coral,49.39289805269187,28,outputs/paper30_r18/office_home_Clipart_coral_resnet18_seed0_best.pth
office_home,eqrm,resnet18,Clipart,0,,eqrm,48.33906071019473,29,outputs/paper30_r18/office_home_Clipart_eqrm_resnet18_seed0_best.pth
office_home,erm,resnet18,Clipart,0,,erm,47.88087056128293,19,outputs/paper30_r18/office_home_Clipart_erm_resnet18_seed0_best.pth
office_home,m2,resnet18,Clipart,0,,m2,47.90378006872852,22,outputs/paper30_r18/office_home_Clipart_m2_resnet18_seed0_best.pth
office_home,m2cl,resnet18,Clipart,0,,m2cl,46.87285223367697,14,outputs/paper30_r18/office_home_Clipart_m2cl_resnet18_seed0_best.pth
office_home,mixup,resnet18,Clipart,0,,mixup,49.805269186712486,24,outputs/paper30_r18/office_home_Clipart_mixup_resnet18_seed0_best.pth
office_home,mmd,resnet18,Clipart,0,,mmd,48.52233676975945,26,outputs/paper30_r18/office_home_Clipart_mmd_resnet18_seed0_best.pth
office_home,rsc,resnet18,Clipart,0,,rsc,46.09392898052692,19,outputs/paper30_r18/office_home_Clipart_rsc_resnet18_seed0_best.pth
